timestamp_iso,unix_ts,core_0,core_1,core_2,core_3,core_4,core_5,core_6,core_7,core_8,core_9,core_10,core_11,core_12,core_13,core_14,core_15
2025-12-23T16:01:32.398+00:00,1766505692.398176,4.0,7.8,9.8,5.9,8.0,2.1,8.0,6.1,4.0,5.9,10.0,4.0,8.0,4.1,5.9,4.0
2025-12-23T16:01:32.899+00:00,1766505692.898665,3.8,0.0,2.0,0.0,2.0,0.0,3.9,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.9
2025-12-23T16:01:33.399+00:00,1766505693.399621,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.8,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
2025-12-23T16:01:33.900+00:00,1766505693.900543,0.0,2.0,0.0,0.0,0.0,3.9,2.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0
2025-12-23T16:01:34.401+00:00,1766505694.401473,4.0,0.0,2.0,3.9,2.0,0.0,2.0,0.0,2.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23T16:01:34.902+00:00,1766505694.902408,5.9,5.9,5.9,4.0,7.8,6.0,8.0,2.1,4.1,8.0,7.8,4.1,6.0,6.0,6.2,8.0
2025-12-23T16:01:35.403+00:00,1766505695.403362,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0
2025-12-23T16:01:35.904+00:00,1766505695.904293,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,2.0,0.0,0.0,2.0,0.0
2025-12-23T16:01:36.405+00:00,1766505696.405152,3.8,0.0,2.0,2.0,0.0,5.9,2.0,2.0,2.0,3.9,0.0,0.0,0.0,0.0,5.8,0.0
2025-12-23T16:01:36.906+00:00,1766505696.906095,7.7,3.9,2.0,2.0,48.0,2.0,0.0,2.1,2.0,2.0,2.0,4.0,3.9,2.0,2.0,3.9
2025-12-23T16:01:37.406+00:00,1766505697.406676,7.7,7.7,8.2,4.1,12.0,6.3,10.0,4.1,6.1,10.0,10.0,8.2,4.0,4.1,4.2,2.0
2025-12-23T16:01:37.907+00:00,1766505697.907627,5.8,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
2025-12-23T16:01:38.408+00:00,1766505698.408575,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,3.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-12-23T16:01:38.909+00:00,1766505698.909512,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,3.9,2.0,0.0,0.0
2025-12-23T16:01:39.410+00:00,1766505699.410187,5.9,3.9,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,4.1,2.0,3.8,2.0
2025-12-23T16:01:39.910+00:00,1766505699.910669,13.2,8.0,6.0,6.1,2.1,4.2,46.0,4.2,8.2,6.3,6.3,6.3,6.1,8.2,12.8,8.0
2025-12-23T16:01:40.411+00:00,1766505700.411589,48.1,3.9,0.0,3.9,4.0,2.0,16.0,12.0,2.0,9.8,4.0,2.0,3.9,5.9,3.9,2.0
2025-12-23T16:01:40.912+00:00,1766505700.912528,3.8,0.0,0.0,0.0,12.2,20.0,4.1,12.0,20.4,10.0,16.3,14.3,8.2,8.0,11.5,6.0
2025-12-23T16:01:41.413+00:00,1766505701.413474,14.8,19.2,16.0,14.3,9.6,5.9,6.1,0.0,22.0,6.1,8.0,8.0,6.3,8.0,8.5,6.1
2025-12-23T16:01:41.914+00:00,1766505701.914407,19.2,25.9,13.5,19.1,8.0,14.0,14.3,9.3,4.1,11.8,4.1,6.3,2.0,4.1,2.0,4.1
2025-12-23T16:01:42.415+00:00,1766505702.415269,6.2,11.5,6.0,8.2,16.7,22.0,13.7,18.7,20.4,18.7,19.6,15.7,12.0,12.5,11.8,10.4
2025-12-23T16:01:42.916+00:00,1766505702.916183,5.7,0.0,3.9,11.5,2.0,6.1,6.0,15.7,6.0,16.0,0.0,3.9,2.0,4.0,0.0,2.1
2025-12-23T16:01:43.417+00:00,1766505703.417111,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,3.9,0.0
2025-12-23T16:01:43.918+00:00,1766505703.918040,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.8
2025-12-23T16:01:44.419+00:00,1766505704.418973,2.0,5.9,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0
2025-12-23T16:01:44.920+00:00,1766505704.919910,29.4,5.9,13.7,7.8,36.5,40.4,61.2,56.0,9.8,8.0,6.1,8.0,24.5,12.0,10.4,6.3
2025-12-23T16:01:45.421+00:00,1766505705.420902,78.0,2.0,2.0,2.0,12.3,2.0,100.0,100.0,10.4,10.4,2.0,0.0,100.0,2.0,2.1,4.0
